ep:uri,ep:isoLanguage,ep:label,skos:altLabel.hu,skos:altLabel.et,skos:altLabel.fi,skos:altLabel.cs,skos:altLabel.sk,skos:altLabel.lt,skos:altLabel.lv,skos:altLabel.mt,skos:altLabel.en,skos:altLabel.da,skos:altLabel.nl,skos:altLabel.sv,skos:altLabel.hr,skos:altLabel.sl,skos:altLabel.pl,skos:altLabel.de,skos:altLabel.ro,skos:altLabel.it,skos:altLabel.pt,skos:altLabel.es,skos:altLabel.fr,skos:altLabel.ga,skos:altLabel.el,skos:altLabel.bg,skos:prefLabel.hu,skos:prefLabel.et,skos:prefLabel.fi,skos:prefLabel.cs,skos:prefLabel.sk,skos:prefLabel.lt,skos:prefLabel.lv,skos:prefLabel.mt,skos:prefLabel.en,skos:prefLabel.da,skos:prefLabel.nl,skos:prefLabel.sv,skos:prefLabel.hr,skos:prefLabel.sl,skos:prefLabel.pl,skos:prefLabel.de,skos:prefLabel.ro,skos:prefLabel.it,skos:prefLabel.pt,skos:prefLabel.es,skos:prefLabel.fr,skos:prefLabel.ga,skos:prefLabel.el,skos:prefLabel.bg
ep:Civility_ON.LE,IT,On.,"","","","","","","","","","","","","","","","","",Onorevole,"","","","","","","","","","","","","","","","","","","","","","","",On.,"","","","","",""
ep:Civility_PR,ET,Pr,"",Pr,"","","","","","","","","","","","","","","","","","","","","","","",Pr,"","","","","","","","","","","","","","","","","","","","","",""
ep:Civility_PRI.,DE,Pri.,"","","","","","","","","","","","","","","",Prinzessin,"","","","","","","","","","","","","","","","","","","","","","","",Pri.,"","","","","","","",""
ep:Civility_PROF.,DE,Prof.,"","","","","","","","","","","","","","","",Professor,"","","","","","","","","","","","","","","","","","","","","","","",Prof.,"","","","","","","",""
ep:Civility_PROF.DR.,DE,Prof.Dr.,"","","","","","","","","","","","","","","",Professor Doktor,"","","","","","","","","","","","","","","","","","","","","","","",Prof.Dr.,"","","","","","","",""
ep:Civility_PROF.SA,IT,Prof.sa,"","","","","","","","","","","","","","","","","",Professoressa,"","","","","","","","","","","","","","","","","","","","","","","",Prof.sa,"","","","","",""
ep:Civility_PROF.SIR,EN,Professor Sir,"","","","","","","","",Professor Sir,"","","","","","","","","","","","","","","","","","","","","","","",Professor Sir,"","","","","","","","","","","","","","",""
ep:Civility_RT.HON,EN,Rt. Hon.,"","","","","","","","",Right Honourable,"","","","","","","","","","","","","","","","","","","","","","","",Rt. Hon.,"","","","","","","","","","","","","","",""
ep:Civility_S.E.,FR,S.E.,"","","","","","","","","","","","","","","","","","","","",Son Excellence,"","","","","","","","","","","","","","","","","","","","","","","",S.E.,"","",""
ep:Civility_SIG.,IT,Sig.,"","","","","","","","","","","","","","","","","",Signor,"","","","","","","","","","","","","","","","","","","","","","","",Sig.,"","","","","",""
ep:Civility_SIG.NA,IT,Sig.na,"","","","","","","","","","","","","","","","","",Signorina,"","","","","","","","","","","","","","","","","","","","","","","",Sig.na,"","","","","",""
ep:Civility_SIG.RA,IT,Sig.ra,"","","","","","","","","","","","","","","","","",Signora,"","","","","","","","","","","","","","","","","","","","","","","",Sig.ra,"","","","","",""
ep:Civility_SIR,EN,Sir,"","","","","","","","",Sir,"","","","","","","","","","","","","","","","","","","","","","","",Sir,"","","","","","","","","","","","","","",""
ep:Civility_SR.,ES,Sr.,"","","","","","","","","","","","","","","","","","","",Señor,"","","","","","","","","","","","","","","","","","","","","","","",Sr.,"","","",""
ep:Civility_SR2,PT,Sr.,"","","","","","","","","","","","","","","","","","",Senhor,"","","","","","","","","","","","","","","","","","","","","","","",Sr.,"","","","",""
ep:Civility_SRA.,ES,Sra.,"","","","","","","","","","","","","","","","","","","",Señora,"","","","","","","","","","","","","","","","","","","","","","","",Sra.,"","","",""
ep:Civility_SRA2,PT,Sra.,"","","","","","","","","","","","","","","","","","",Senhora,"","","","","","","","","","","","","","","","","","","","","","","",Sra.,"","","","",""
ep:Civility_SRA D.,PT,Sra.,"","","","","","","","","","","","","","","","","","",Sra. D.,"","","","","","","","","","","","","","","","","","","","","","","",Sra.,"","","","",""
ep:Civility_SRTA.,ES,Srta.,"","","","","","","","","","","","","","","","","","","",Señorita,"","","","","","","","","","","","","","","","","","","","","","","",Srta.,"","","",""
ep:Civility_EARL,EN,The Earl of,"","","","","","","","",The Earl of,"","","","","","","","","","","","","","","","","","","","","","","",The Earl of,"","","","","","","","","","","","","","",""
ep:Civility_HON.,EN,The Hon.,"","","","","","","","",The Honorable,"","","","","","","","","","","","","","","","","","","","","","","",The Hon.,"","","","","","","","","","","","","","",""
ep:Civility_LORD,EN,The Lord,"","","","","","","","",The Lord,"","","","","","","","","","","","","","","","","","","","","","","",The Lord,"","","","","","","","","","","","","","",""
ep:Civility_DR HAB.,PL,dr hab.,"","","","","","","","","","","","","","",dr hab.,"","","","","","","","","","","","","","","","","","","","","","","",dr hab.,"","","","","","","","",""
ep:Civility_G.,SL,g.,"","","","","","","","","","","","","",g.,"","","","","","","","","","","","","","","","","","","","","","","",g.,"","","","","","","","","",""
ep:Civility_GOSPODIN,HR,g.,"","","","","","","","","","","","",Gospodin,"","","","","","","","","","","","","","","","","","","","","","","",g.,"","","","","","","","","","",""
ep:Civility_GA.,SL,ga.,"","","","","","","","","","","","","",ga.,"","","","","","","","","","","","","","","","","","","","","","","",ga.,"","","","","","","","","",""
ep:Civility_GOSPODA,HR,gđa,"","","","","","","","","","","","",Gospođa,"","","","","","","","","","","","","","","","","","","","","","","",gđa,"","","","","","","","","","",""
ep:Civility_PONAS,LT,p.,"","","","","",p.,"","","","","","","","","","","","","","","","","","","","","","","",p.,"","","","","","","","","","","","","","","","","",""
ep:Civility_PONIA,LT,p.,"","","","","",p.,"","","","","","","","","","","","","","","","","","","","","","","",p.,"","","","","","","","","","","","","","","","","",""
ep:Civility_PAN  ,SK,p.,"","","","",p.,"","","","","","","","","","","","","","","","","","","","","","","",p.,"","","","","","","","","","","","","","","","","","",""
ep:Civility_PANI  ,SK,p.,"","","","",p.,"","","","","","","","","","","","","","","","","","","","","","","",p.,"","","","","","","","","","","","","","","","","","",""
ep:Civility_PAN,CS,pan,"","","",pan,"","","","","","","","","","","","","","","","","","","","","","","",pan,"","","","","","","","","","","","","","","","","","","",""
ep:Civility_PANI,CS,paní,"","","",paní,"","","","","","","","","","","","","","","","","","","","","","","",paní,"","","","","","","","","","","","","","","","","","","",""
ep:Civility_KO.,EL,κ.,"","","","","","","","","","","","","","","","","","","","","","",Κύριο,"","","","","","","","","","","","","","","","","","","","","","","",κ.,""
ep:Civility_KA,EL,κα,"","","","","","","","","","","","","","","","","","","","","","",Κυρία,"","","","","","","","","","","","","","","","","","","","","","","",κα,""
ep:Civility_GZHA,BG,Г-жа,"","","","","","","","","","","","","","","","","","","","","","","",Г-жа,"","","","","","","","","","","","","","","","","","","","","","","",Г-жа
ep:Civility_GN,BG,Г-н,"","","","","","","","","","","","","","","","","","","","","","","",Г-н,"","","","","","","","","","","","","","","","","","","","","","","",Г-н
