Vote,Date,VoteNumber,VoteTitle,ResultFor,ResultAgainst,ResultAbstention
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/20,2019-01-16,20,A8-0461/2018 -  Verónica Lope Fontagné - Am 170,142,512,36
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/21,2019-01-16,21,A8-0461/2018 -  Verónica Lope Fontagné - Am 161,205,348,136
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/22,2019-01-16,22,A8-0461/2018 -  Verónica Lope Fontagné - Proposition de la Commission,543,81,64
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/23,2019-01-16,23,A8-0470/2018 -  Pascal Arimont - Am 201,192,485,9
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/24,2019-01-16,24,A8-0470/2018 -  Pascal Arimont - Proposition de la Commission,570,80,25
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/25,2019-01-16,25,A8-0361/2018 -  Godelieve Quisthoudt-Rowohl - Am 17,626,18,42
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/26,2019-01-16,26,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 103,53,595,38
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/27,2019-01-16,27,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 56,90,412,184
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/28,2019-01-16,28,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 104,123,482,77
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/29,2019-01-16,29,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 105,68,595,20
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/30,2019-01-16,30,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 106,57,605,17
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/31,2019-01-16,31,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 57S,82,600,2
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/32,2019-01-16,32,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 58,88,412,181
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/33,2019-01-16,33,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 59,95,402,186
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/34,2019-01-16,34,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 60,79,569,42
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/35,2019-01-16,35,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 138,108,361,219
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/36,2019-01-16,36,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 112,84,374,229
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/37,2019-01-16,37,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 61,103,382,198
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/38,2019-01-16,38,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 62,118,376,192
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/39,2019-01-16,39,A8-0475/2018 -  Norbert Lins et  Bart Staes - § 12,557,107,15
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/40,2019-01-16,40,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 63S,70,542,68
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/41,2019-01-16,41,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 1/1,563,83,36
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/42,2019-01-16,42,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 1/2,276,322,84
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/43,2019-01-16,43,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 64,53,560,70
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/44,2019-01-16,44,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 120,114,343,224
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/45,2019-01-16,45,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 65S,77,586,19
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/46,2019-01-16,46,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 66,72,571,35
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/47,2019-01-16,47,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 122,107,503,70
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/48,2019-01-16,48,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 123,136,344,197
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/49,2019-01-16,49,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 67,85,589,10
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/50,2019-01-16,50,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 144,119,375,190
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/51,2019-01-16,51,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 68,136,313,232
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/52,2019-01-16,52,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 69S,93,556,6
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/53,2019-01-16,53,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 70S,93,581,7
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/54,2019-01-16,54,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 71S,91,583,6
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/55,2019-01-16,55,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 72,111,555,14
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/56,2019-01-16,56,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 73,91,373,209
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/57,2019-01-16,57,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 75S,86,584,15
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/58,2019-01-16,58,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 76,78,580,22
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/59,2019-01-16,59,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 77S,94,582,7
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/60,2019-01-16,60,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 78,76,401,205
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/61,2019-01-16,61,A8-0475/2018 -  Norbert Lins et  Bart Staes - § 43/1,649,22,12
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/62,2019-01-16,62,A8-0475/2018 -  Norbert Lins et  Bart Staes - § 43/2,571,92,19
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/63,2019-01-16,63,A8-0475/2018 -  Norbert Lins et  Bart Staes - § 43/3,649,19,11
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/64,2019-01-16,64,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 79S,88,583,6
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/65,2019-01-16,65,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 80S,83,593,3
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/66,2019-01-16,66,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 81S,93,406,181
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/67,2019-01-16,67,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 82,90,584,10
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/68,2019-01-16,68,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 83,47,613,25
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/69,2019-01-16,69,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 84,73,579,26
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/70,2019-01-16,70,A8-0475/2018 -  Norbert Lins et  Bart Staes - Am 85S,101,376,191
