?committee	?targetTranslationLanguage	?averageTranslationDurationInDays
<http://data.europarl.europa.eu/resource/org/C05-4961>	<http://publications.europa.eu/resource/authority/language/MLT>	29.482142857142857142857143
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/POR>	29.4
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/SPA>	29.3
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/LAV>	29.2
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/DEU>	29.2
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/ITA>	29.2
<http://data.europarl.europa.eu/resource/org/C05-4961>	<http://publications.europa.eu/resource/authority/language/LAV>	29.160714285714285714285714
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/FRA>	29.0
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/MLT>	29.0
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/RON>	28.9
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/FRA>	28.75
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/SWE>	28.666666666666666666666667
<http://data.europarl.europa.eu/resource/org/C20-4976>	<http://publications.europa.eu/resource/authority/language/FRA>	28.666666666666666666666667
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/CES>	28.6
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/ENG>	28.5
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/DAN>	28.4
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/NLD>	28.222222222222222222222222
<http://data.europarl.europa.eu/resource/org/CJ19-5004>	<http://publications.europa.eu/resource/authority/language/DAN>	28.2
